Дата,UserID,Продукт,Количество,Цена
2024-06-04,9362,Товар B,8,67.02
2024-05-09,4394,Товар E,5,49.04
2024-03-02,1962,Товар B,3,15.67
2024-02-02,8071,Товар E,9,45.54
2024-06-13,2258,Товар E,3,32.99
2024-01-22,8015,Товар E,1,38.57
2024-05-09,3487,Товар A,3,98.96
2024-02-03,1228,Товар A,3,9.04
2024-05-02,6645,Товар D,4,27.96
2024-11-01,2821,Товар C,6,24.26
2024-05-28,7653,Товар C,8,79.97
2024-07-15,2200,Товар B,4,12.58
2024-02-26,2579,Товар D,4,32.96
2024-07-05,3001,Товар B,7,31.14
2024-06-06,5190,Товар C,9,84.01
2024-03-08,4066,Товар A,3,88.86
2024-06-23,1542,Товар B,7,97.32
2024-03-28,5086,Товар B,10,81.45
2024-02-15,4096,Товар B,8,14.25
2023-12-05,2862,Товар E,2,71.29
2023-11-14,3464,Товар C,7,30.87
2024-09-07,4832,Товар D,4,55.28
2024-10-22,1084,Товар E,10,76.98
2024-03-25,4198,Товар B,10,30.77
2024-04-04,7778,Товар B,5,6.91
2023-11-22,3232,Товар A,9,52.02
2024-07-26,4857,Товар C,9,23.48
2024-02-20,8022,Товар B,2,59.19
2024-07-08,1386,Товар E,2,32.28
2024-03-26,6568,Товар D,3,7.25
2024-09-22,2768,Товар C,3,31.13
2023-11-18,1303,Товар A,8,21.77
2024-02-06,5502,Товар A,7,54.32
2024-05-02,8357,Товар E,10,45.67
2024-03-16,3343,Товар B,8,50.46
2024-08-28,5857,Товар D,4,22.96
2024-07-18,8275,Товар D,2,67.79
2024-10-29,7125,Товар A,2,13.44
2024-04-21,1592,Товар D,6,18.18
2023-12-12,9288,Товар E,3,51.79
2024-01-16,2566,Товар E,8,64.16
2024-10-26,5316,Товар C,3,61.41
2024-07-22,7053,Товар A,7,21.38
2024-06-13,3703,Товар B,4,76.58
2024-03-28,2250,Товар E,10,17.39
2024-05-21,1005,Товар A,9,36.55
2023-11-18,9359,Товар B,8,19.15
2024-02-24,8212,Товар C,9,27.39
2023-12-04,6294,Товар C,7,67.38
2024-02-23,4289,Товар C,5,20.86
2024-04-21,7850,Товар B,10,97.95
2024-07-26,3140,Товар B,5,81.93
2023-12-25,6055,Товар D,10,5.64
2024-03-09,8565,Товар B,7,16.68
2024-01-24,5009,Товар D,1,7.18
2024-09-22,1437,Товар D,8,88.14
2023-11-10,4180,Товар C,9,18.84
2024-06-26,8230,Товар A,3,57.93
2024-10-10,4314,Товар B,10,56.25
2024-08-29,4884,Товар D,4,46.42
2024-04-07,1926,Товар A,3,6.63
2024-07-16,7756,Товар B,10,36.82
2024-03-03,7328,Товар A,3,69.42
2024-02-15,3467,Товар D,5,27.5
2024-03-31,1392,Товар E,2,7.49
2024-07-01,5322,Товар C,4,79.53
2023-12-06,9142,Товар A,10,37.6
2023-12-16,1806,Товар D,1,63.42
2024-08-22,3698,Товар C,2,99.21
2024-10-14,9411,Товар B,5,61.25
2024-08-28,7655,Товар B,5,51.48
2024-04-25,7369,Товар B,7,75.05
2024-04-30,9933,Товар D,4,7.34
2024-03-17,8454,Товар B,8,5.68
2024-06-11,8743,Товар D,3,71.44
2024-07-07,2054,Товар E,8,52.14
2024-02-25,2830,Товар A,8,11.2
2024-09-06,9676,Товар C,9,80.62
2024-02-26,3528,Товар B,6,41.45
2024-03-09,7431,Товар D,9,87.86
